constructor_name,year,total_wins,total_podiums,total_points,total_races,avg_position,total_dnf,win_rate
Coloni,1988,0,0,0.0,16,22.625,16,0.0
Coloni,1989,0,0,0.0,32,32.6875,32,0.0
Coloni,1990,0,0,0.0,16,32.0,16,0.0
Coloni,1991,0,0,0.0,15,33.4,15,0.0
Connaught,1952,0,0,5.0,8,12.125,8,0.0
Connaught,1953,0,0,0.0,21,18.61904761904762,21,0.0
Connaught,1954,0,0,0.0,5,15.4,5,0.0
Connaught,1955,0,0,0.0,5,19.2,5,0.0
Connaught,1956,0,1,9.0,7,12.285714285714286,7,0.0
Connaught,1957,0,0,3.0,2,7.5,2,0.0
Connaught,1958,0,0,0.0,5,21.2,5,0.0
Connaught,1959,0,0,0.0,1,18.0,1,0.0
Connew,1972,0,0,0.0,1,21.0,1,0.0
Cooper,1950,0,0,0.0,1,19.0,1,0.0
Cooper,1952,0,1,12.0,16,11.625,16,0.0
Cooper,1953,0,0,0.0,19,13.526315789473685,19,0.0
Cooper,1954,0,0,0.0,6,24.166666666666668,6,0.0
Cooper,1955,0,0,0.0,1,12.0,1,0.0
Cooper,1956,0,0,0.0,1,11.0,1,0.0
Cooper,1957,0,0,2.0,16,12.875,16,0.0
Cooper,1958,2,5,38.0,42,10.976190476190476,33,4.76
Cooper,1962,0,0,0.0,1,12.0,1,0.0
Cooper-ATS,1967,0,0,0.0,1,15.0,1,0.0
Cooper-Alfa Romeo,1962,0,0,0.0,1,15.0,1,0.0
Cooper-BRM,1968,0,2,20.0,21,11.380952380952381,21,0.0
Cooper-Borgward,1959,0,0,0.0,3,13.0,3,0.0
Cooper-Castellotti,1960,0,0,3.0,6,13.5,6,0.0
Cooper-Climax,1959,5,13,97.5,49,10.489795918367347,36,10.2
Cooper-Climax,1960,6,15,102.0,55,9.381818181818181,41,10.91
Cooper-Climax,1961,0,1,24.0,52,15.576923076923077,39,0.0
Cooper-Climax,1962,1,7,45.0,29,9.793103448275861,21,3.45
Cooper-Climax,1963,0,4,32.0,34,10.529411764705882,31,0.0
Cooper-Climax,1964,0,2,16.0,23,11.565217391304348,21,0.0
Cooper-Climax,1965,0,1,14.0,23,12.434782608695652,22,0.0
Cooper-Climax,1967,0,1,6.0,2,10.0,1,0.0
Cooper-Climax,1968,0,0,0.0,1,16.0,1,0.0
Cooper-Ferrari,1966,0,0,0.0,2,11.0,2,0.0
Cooper-Ford,1965,0,0,0.0,2,21.5,2,0.0
Cooper-Maserati,1959,0,0,0.0,12,13.666666666666666,12,0.0
Cooper-Maserati,1960,0,0,3.0,21,14.952380952380953,20,0.0
Cooper-Maserati,1961,0,0,0.0,12,16.25,12,0.0
Cooper-Maserati,1963,0,0,0.0,2,19.0,2,0.0
Cooper-Maserati,1965,0,0,0.0,1,30.0,1,0.0
Cooper-Maserati,1966,1,6,49.0,40,9.2,36,2.5
Cooper-Maserati,1967,1,1,31.0,42,10.214285714285714,38,2.38
Cooper-Maserati,1968,0,0,0.0,3,13.666666666666666,3,0.0
Cooper-Maserati,1969,0,0,0.0,1,7.0,1,0.0
Cooper-OSCA,1959,0,0,0.0,1,11.0,1,0.0
Dallara,1988,0,0,0.0,16,18.125,16,0.0
Dallara,1989,0,1,8.0,32,15.15625,30,0.0
Dallara,1990,0,0,0.0,32,20.125,32,0.0
Dallara,1991,0,1,5.0,32,16.625,30,0.0
Dallara,1992,0,0,2.0,32,13.4375,31,0.0
De Tomaso,1962,0,0,0.0,1,30.0,1,0.0
De Tomaso,1963,0,0,0.0,3,23.666666666666668,3,0.0
De Tomaso,1970,0,0,0.0,10,16.2,10,0.0
De Tomaso-Alfa Romeo,1961,0,0,0.0,2,24.0,2,0.0
De Tomaso-Alfa Romeo,1962,0,0,0.0,1,23.0,1,0.0
De Tomaso-Ferrari,1963,0,0,0.0,1,28.0,1,0.0
De Tomaso-Osca,1961,0,0,0.0,2,26.0,2,0.0
De Tomaso-Osca,1962,0,0,0.0,1,28.0,1,0.0
Deidt,1950,0,2,10.0,3,12.0,3,0.0
Deidt,1951,0,0,0.0,4,15.5,4,0.0
Deidt,1952,0,0,0.0,1,24.0,1,0.0
Del Roy,1953,0,0,0.0,1,32.0,1,0.0
Derrington,1964,0,0,0.0,1,16.0,1,0.0
Dunn,1957,0,0,0.0,1,21.0,1,0.0
Dunn,1958,0,0,0.0,1,24.0,1,0.0
